Signal_Name,Latitude,Longitude
NGP STR,21.154538,79.088997
NGP INT STR,21.157992,79.089692
NGP ADV STR,21.16198,79.095628
NGP GATE SIG,21.16259,79.101157
L XING,21.163205,79.103287
NEU SEC,21.164148,79.106565
GATE IN DIST,21.165952,79.114843
NGP GATE SIG,21.166612,79.128143
L XING,21.166848,79.130078
KAV HOME,21.16693,79.130793
KAV STR,21.168827,79.145572
L XING,21.169768,79.14992
KAV ADV STR,21.171483,79.15342
A:A2,21.177928,79.160047
A:A4,21.193917,79.173505
A:A6,21.199212,79.179758
KP HOME,21.20856,79.191142
L XING,21.209578,79.193123
KP STR,21.212528,79.200862
KP ADV STR,21.214152,79.205068
A:A10,21.218338,79.216002
KNHN HOME,21.222323,79.224998
KNHN STR,21.225982,79.241425
KNHN ADV STR,21.228045,79.248905
NEU SEC,21.230043,79.256577
A:A12,21.231138,79.260495
A:A14,21.233758,79.27043
SAL HOME,21.236377,79.282842
L XING,21.236325,79.28481
SAL STR,21.23595,79.296537
L XING,21.23588,79.298982
SAL ADV STR,21.23582,79.301032
A:A20,21.23546,79.3129
SA G:A22,21.235387,79.322368
L XING,21.235713,79.324735
A:A24,21.236843,79.33023
CHCR HOME,21.239803,79.345603
CHCR STR,21.242258,79.358457
L XING,21.24271,79.360815
CHCR ADV STR,21.24311,79.362842
A:A30,21.245008,79.37256
A:A32,21.247072,79.383097
SA G:A34,21.249502,79.394372
L XING,21.25019,79.396432
TAR HOME,21.254093,79.40771
L XING,21.255053,79.4104
TAR STR,21.257688,79.418002
TAR ADV STR,21.259253,79.422758
A:A36,21.261137,79.433827
NEU SEC,21.2613,79.438362
A:A38,21.261568,79.447222
RRL HOME,21.261972,79.45991
RRL STR,21.259665,79.470678
RRL ADV STR,21.258168,79.473972
A:A40,21.250942,79.489292
A:A42,21.247028,79.498848
A:A44,21.245872,79.509968
A:A46,21.245068,79.527257
KT HOME,21.243898,79.542238
L XING,21.243558,79.544332
KT STR,21.241842,79.554982
KT ADV STR,21.241378,79.557205
A:A48,21.239528,79.568448
A:A50,21.23767,79.579763
A:A52,21.235063,79.595132
A:A54,21.234082,79.605917
A:A56,21.235302,79.61685
A:A58,21.236587,79.628448
BRD HOME,21.237678,79.638042
L XING,21.23825,79.64271
BRD STR,21.239167,79.6507
BRD ADV STR,21.239593,79.654592
A:A60,21.238903,79.665753
NEU SEC,21.237578,79.673763
A:A62,21.236688,79.678843
SA G:A64,21.239692,79.692227
L XING,21.241275,79.69469
A:A66,21.246018,79.701327
K HOME,21.252452,79.707957
K STR,21.261708,79.712357
L XING,21.264045,79.71337
K ADV STR,21.264632,79.713627
A:A68,21.273248,79.717377
A:A70,21.281568,79.721008
SA G:A72,21.289913,79.72464
L XING,21.292297,79.725678
A:A74,21.301738,79.7298
SA G:A76,21.314513,79.735355
L XING,21.316307,79.736152
A:A78,21.32537,79.740137
TMR HOME,21.333048,79.743498
L XING,21.336975,79.745225
TMR STR,21.343198,79.753095
L XING,21.344198,79.75468
TMR ADV STR,21.34545,79.757225
A:A80,21.34627,79.766827
SA G:A82,21.346728,79.776788
L XING,21.346512,79.77862
NEU SEC,21.346187,79.780183
A:A84,21.345045,79.786137
A:A86,21.343585,79.797983
A:A88,21.348827,79.80654
A:A90,21.354285,79.815013
A:A92,21.35984,79.823672
MNU HOME,21.367528,79.828562
L XING,21.368818,79.83018
MNU STR,21.37498,79.837918
MNU ADV STR,21.376875,79.839895
A:A94,21.384332,79.845798
A:A96,21.392487,79.852777
SA G:A98,21.397753,79.860645
L XING,21.398567,79.862502
A:A100,21.401523,79.872292
SA G:A102,21.404097,79.881465
L XING,21.404813,79.884008
A:A104,21.40807,79.895523
TRO HOME,21.411417,79.90744
L XING,21.41191,79.909197
TRO STR,21.414645,79.919233
L XING,21.415515,79.922218
TRO ADV STR,21.416045,79.924055
SA G:A106,21.419582,79.936588
L XING,21.420075,79.938503
NEU SEC,21.421192,79.943313
A:A108,21.422272,79.947943
SA G:A110,21.424668,79.958505
L XING,21.425123,79.960502
KWN HOME,21.428192,79.973828
L XING,21.4288,79.976652
KWN STR,21.430778,79.985287
KWN INT STR,21.43171,79.989242
KWN ADV STR,21.432507,79.994123
L XING,21.432682,79.995405
A:A112,21.433857,80.003733
A:A114,21.43537,80.01485
A:A116,21.43673,80.024453
SA G:A118,21.439415,80.033552
L XING,21.44216,80.03625
A:A120,21.443393,80.041942
GJ HOME,21.443108,80.051392
GJ STR,21.443495,80.065987
GJ ADV STR,21.444688,80.069137
A:A122,21.449352,80.080942
A:A124,21.452973,80.090188
SA G:A126,21.456533,80.09927
L XING,21.457282,80.101178
SA G:A128,21.463127,80.116138
A:A130,21.465498,80.12594
A:A132,21.465123,80.136902
SA G:A134,21.464528,80.147855
L XING,21.464415,80.1499
SA G:A136,21.46398,80.157675
L XING,21.463873,80.159672
SA G:A138,21.463342,80.169277
L XING,21.463242,80.171275
G HOME,21.462975,80.177253
L XING,21.462788,80.179962
